No,Title,Content
071,Affidavit,"An affidavit is a signed statement, duly sworn to, by the maker thereof, before a notary public or other officer authorized to administer oaths. The venue, or county wherein the affidavit was sworn to should be accurately stated. But it is of far more importance that the affiant, the person making the affidavit, should have personally appeared before the notary and have made oath to the statements contained in the affidavit as required by law.
Under the Penal Law (§210.00) the wilful making of a false affidavit is perjury, but to sustain an indictment therefor, there must have been, in some form, in the presence of an officer authorized to administer an oath, an unequivocal and present act by which the affiant consciously took upon himself the obligation of an oath; his silent delivery of a signed affidavit to the notary for his certificate, is not enough. (People v. O’Reilly, 86 NY 154; People ex rel. Greene v. Swasey, 122 Misc. 388; People v. Levitas (1963) 40 Misc. 2d 331.)
A notary public will be removed from office for preparing and taking the oath of an affiant to a statement that the notary knew to be false. (Matter of Senft, August 8, 1929; Matter of Trotta, February 20, 1930; Matter of Kibbe, December 24, 1931.)

The distinction between the taking of an acknowledgment and an affidavit must be clearly understood.
In the case of an acknowledgment, the notary public certifies as to the identity and execution of a document; the affidavit involves the administration of an oath to the affiant.
There are certain acknowledgment forms which are a combination of an acknowledgment and affidavit.
It is incumbent on the notary public to scrutinize each document presented to him and to ascertain the exact nature of the notary’s duty with relation thereto.
An affidavit differs from a deposition in that an affidavit is an ex parte statement.
(See definition of Deposition.)"
072,Affirmation,"A solemn declaration made by persons who conscientiously decline taking an oath; it is equivalent to an oath and is just as binding; if a person has religious or conscientious scruples against taking an oath, the notary public should have the person affirm.
The following is a form of affirmation: “Do you solemnly, sincerely, and truly, declare and affirm that the statements made by you are true and correct.”"
073,Apostile,Department of State authentication attached to a notarized and county-certified document for possible international use.
074,Attest,"To witness the execution of a written instrument, at the request of the person who makes it, and subscribe the same as a witness."
075,"Attestation Clause
","That clause (e.g., at the end of a will) wherein the witnesses certify that the instrument has been executed before them, and the manner of the execution of the same.

"
076,"Authentication (Notarial)
","A certificate subjoined by a county clerk to any certificate of proof or acknowledgment or oath signed by a notary; this county clerk’s certificate authenticates or verifies the authority of the notary public to act as such.
(See §133, Executive Law.)"
077,Bill of Sale,"A written instrument given to pass title of personal property from vendor to vendee.

"
078,"Certified Copy
","A copy of a public record signed and certified as a true copy by the public official having custody of the original. A notary public has no authority to issue certified copies. Notaries must not certify to the authenticity of legal documents and other papers required to be filed with foreign consular officers. Within this prohibition are certificates of the following type:United States of America     )
State of New York            ) ss.:
County of New York           )
“I ................, a notary public of the State of New York, in and for the county of .........., duly commissioned, qualified and sworn according to the laws of the State of New York, do hereby certify and declare that I verily believe the annexed instrument executed by ........ and sworn to before .........., a notary public of the State of .........., to be genuine in every respect, and that full faith and credit are and ought to be given thereto.

“In testimony whereof I have hereunto set my hand and seal at the City of ............, this ................ day of ...................., 20 .........

(Seal)                                                                           (Notarial Signature.)”"
079,Chattel,"Personal property, such as household goods or fixtures."
080,Chattel Paper,"A writing or writings which evidence both an obligation to pay money and a security interest in a lease or specific goods. The agreement which creates or provides for the security interest is known as a security agreement.

"
081,Codicil,"An instrument made subsequent to a will and modifying it in some respects.

"
082,Consideration,"Anything of value given to induce entering into a contract; it may be money, personal services, or even love and affection."
083,Contempt of Court,Behavior disrespectful of the authority of a court which disrupts the execution of court orders.
084,Contract,"An agreement between competent parties to do or not to do certain things for a legal consideration, whereby each party acquires a right to what the other possesses."
085,"Conveyance (Deed)
","Every instrument, in writing, except a will, by which any estate or interest in real property is created, transferred, assigned or surrendered."
086,County Clerk’s Certificate,"A certificate subjoined by a county clerk to any certificate of proof or acknowledgment or oath signed by a notary; this county clerk’s certificate authenticates or verifies the authority of the notary public to act as such.
(See §133, Executive Law.)"
087,Deponent,"One who makes oath to a written statement. Technically, a person subscribing a deposition but used interchangeably with “Affiant.”"
088,Deposition,"The testimony of a witness taken out of court or other hearing proceeding, under oath or by affirmation, before a notary public or other person, officer or commissioner before whom such testimony is authorized by law to be taken, which is intended to be used at the trial or hearing.

"
089,Duress,"Unlawful constraint exercised upon a person whereby he is forced to do some act against his will.

"
090,Escrow,"The placing of an instrument in the hands of a person as a depository who on the happening of a designated event, is to deliver the instrument to a third person. This agreement, once established, should be unalterable.

"
091,Executor,"One named in a will to carry out the provisions of the will.

"
092,"Ex Parte (From One Side Only)
","A hearing or examination in the presence of, or on papers filed by, one party and in the absence of the other."
093,Felony,"A crime punishable by death or imprisonment in a state prison.

"
094,Guardian,"A person in charge of a minor’s person or property.

"
095,Judgment,"Decree of a court declaring that one individual is indebted to another and fixing the amount of such indebtedness.

"
096,Jurat,"A jurat is that part of an affidavit where the officer (notary public) certifies that it was sworn to before him. It is not the affidavit.

The following is the form of jurat generally employed:

“Sworn to before me this ........ day of ........, 20 ......”

Those words placed directly after the signature in the affidavit stating that the facts therein contained were sworn to or affirmed before the officer (notary public) together with his official signature and such other data as required by § 137 of the Executive Law."
097,Laches,"The delay or negligence in asserting one’s legal rights.

"
098,Lease,"A contract whereby, for a consideration, usually termed rent, one who is entitled to the possession of real property transfers such right to another for life, for a term of years or at will.

"
099,Lien,A legal right or claim upon a specific property which attaches to the property until a debt is satisfied.
100,Litigation,"The act of carrying on a lawsuit.

"
101,Misdemeanor,"Any crime other than a felony.

"
102,Mortgage On Real Property,"An instrument in writing, duly executed and delivered that creates a lien upon real estate as security for the payment of a specified debt, which is usually in the form of a bond."
103,"Notary Public
","A public officer who executes acknowledgments of deeds or writings in order to render them available as evidence of the facts therein contained; administers oaths and affirmation as to the truth of statements contained in papers or documents requiring the administration of an oath.
The notary’s general authority is defined in §135 of the Executive Law; the notary has certain other powers which can be found in the various provisions of law set forth earlier in this publication.

"
104,Oath,"A verbal pledge given by the person taking it that his statements are made under an immediate sense of this responsibility to God, who will punish the affiant if the statements are false.

Notaries public must administer oaths and affirmations in manner and form as prescribed by the Civil Practice Law and Rules, namely:

§2309(b) Form.
An oath or affirmation shall be administered in a form calculated to awaken the conscience and impress the mind of the person taking it in accordance with his religious or ethical beliefs.

An oath must be administered as required by law. The person taking the oath must personally appear before the notary; an oath cannot be administered over the telephone (Matter of Napolis, 169 App. Div. 469), and the oath must be administered in the form required by the statute (Bookman v. City of New York, 200 NY 53, 56).

When an oath is administered the person taking the oath must express assent to the oath repeated by the notary by the words “I do” or some other words of like meaning.

For an oath or affirmation to be valid, whatever form is adopted, it is necessary that:

first, the person swearing or affirming must personally be in the presence of the notary public;

secondly, that the person unequivocally swears or affirms that what he states is true;

thirdly, that he swears or affirms as of that time; and,

lastly, that the person conscientiously takes upon himself the obligation of an oath.

A notary public does not fulfill his duty by merely asking a person whether the signature on a purported affidavit is his. An oath must be administered.

A corporation or a partnership cannot take an oath; an oath must be taken by an individual.

A notary public cannot administer an oath to himself.

The privileges and rights of a notary public are personal and cannot be delegated to anyone."
105,Plaintiff,"A person who starts a suit or brings an action against another.

"
106,Power of Attorney,"A written statement by an individual giving another person the power to act for him.

"
107,Proof,"The formal declaration made by a subscribing witness to the execution of an instrument setting forth his place of residence, that he knew the person described in and who executed the instrument and that he saw such person execute such instrument.

"
108,Protest,"A formal statement in writing by a notary public, under seal, that a certain bill of exchange or promissory note was on a certain day presented for payment, or acceptance, and that such payment or acceptance was refused."
109,Seal,"The laws of the State of New York do not require the use of seals by notaries public. If a seal is used, it should sufficiently identify the notary public, his authority and jurisdiction.
It is the opinion of the Department of State that the only inscription required is the name of the notary and the words “Notary Public for the State of New York.”"
110,Signature of Notary Public,"A notary public must sign the name under which he was appointed and no other. In addition to his signature and venue, the notary public shall print, typewrite or stamp beneath his signature in black ink, his name, the words “Notary Public State of New York,” the name of the county in which he is qualified, and the date upon which his commission expires (§137, Executive Law).

When a notary marries during the term of office for which he/she was appointed, he/she may continue to use the name under which he/she was commissioned as a notary public.
However, if he/she elects to use his/her marriage name, then for the balance of his/her term as a notary public he/she must continue to use the name under which he/she is commissioned in his/her signature and seal when acting in his/her notarial capacity, adding after his/her signature his/her married name, in parentheses.

When renewing his/her commission as a notary public, he/she may apply under his/her married name or the name under which he/she was formerly commissioned.
He/she must then perform all his/her notarial functions under the name selected.

A member of a religious order, known therein by a name other than his secular cognomen, may be appointed and may officiate as a notary public under the name by which he is known in religious circles. (Op. Atty. Gen., Mar. 20, 1930.)"
111,Statute,A law established by an act of the Legislature.
112,"Statute of Frauds
","State law which provides that certain contracts must be in writing or partially complied with, in order to be enforceable at law."
113,"Statute of Limitations
",A law that limits the time within which a criminal prosecution or a civil action must be started.
114,Subordination Clause,A clause which permits the placing of a mortgage at a later date which takes priority over an existing mortgage.
115,Sunday,"A notary public may administer an oath or take an affidavit or acknowledgment on Sunday.
However, a deposition cannot be taken on Sunday in a civil proceeding."
116,Swear,"This term includes every mode authorized by law for administering an oath.

"
117,Taking an Acknowledgment,"The act of the person named in an instrument telling the notary public that he is the person named in the instrument and acknowledging that he executed such instrument;
also includes the act of the notary public in obtaining satisfactory evidence of the identity of the person whose acknowledgment is taken.

The notary public “certifies to the taking of the acknowledgment” when the notary signs his official signature to the form setting forth the fact of the taking of the acknowledgment."
118,Venue,"The geographical place where a notary public takes an affidavit or acknowledgment.
Every affidavit or certificate of acknowledgment should show on its face the venue of the notarial act.
The venue is usually set forth at the beginning of the instrument or at the top of the notary’s jurat, or official certification, as follows:

“State of New York, County of (New York) ss.:”

Section 137 of the Executive Law imposes the duty on the notary public to include the venue of his act in all certificates of acknowledgments or jurats to affidavits."
119,Wills,"The disposition of one’s property to take effect after death.

"
120,Schedule of Fees,"Appointment as Notary Public –

Total Commission Fee: $60.00
($40 appointment and $20 filing of Oath of Office)

Other Fees:

Change of Name/Address: $10.00

Duplicate Identification Card: $10.00

Issuance of Certificate of Official Character: $1.00

Filing Certificate of Official Character: $1.00

Authentication Certificate: $3.00

Protest of Note, Commercial Paper, etc.: $0.75

Each additional Notice of Protest (limit 5 each): $0.10

Oath or Affirmation: $2.00

Acknowledgment (each person): $2.00

Proof of Execution (each person): $2.00

Swearing Witness: $2.00

"
121,Note,"Where gender pronouns appear in this booklet, they are meant to refer to both male and female persons."
